location,lat,lon
"colorado, usa",-105.7820674,39.5500507
illinois,-89.3985283,40.6331249
"minneapolis, mn",-93.2650108,44.977753
"asbury park, nj",-74.0120817,40.2203907
"austin, tx",-97.7430608,30.267153
"yorktown heights, new york",-73.7776336,41.2709274
"grand rapids, mi",-85.6680863,42.9633599
"new jersey, usa",-74.4056612,40.0583238
"clayton, missouri",-90.3237263,38.6425518
"indianapolis, in",-86.158068,39.768403
"atlanta, ga",-84.3879824,33.7489954
"dubai, united arab emirates",55.2707828,25.2048493
the great nw,-124.0505485,46.4846561
"üt: 35.081599,-77.147946",-97.7340567,30.2849185
"leeds, al, usa",-86.5444288,33.5481597
california,-119.4179324,36.778261
"ann arbor, michigan",-83.7430378,42.2808256
michigan,-85.6023643,44.3148443
"grand island, ne",-74.0059728,40.7127753
sf bay area,-98.3420118,40.9263957
northern nj,-122.2913078,37.8271784
usa,-74.077072,40.9290779
"ca - formerly seattle, madison",-95.712891,37.09024
"burlington, ma - usa",-122.2796452,47.6346093
"boston, ma",-71.1956205,42.5047161
"doha, qatar",-71.0588801,42.3600825
"chimacum, washington state",51.5310398,25.2854473
"upstate new york, usa",-122.7687353,48.0106006
"chicago, il",-73.9865533,40.7263542
"chimacum, wa",-87.6297982,41.8781136
"york, england",-122.7687353,48.0106006
"arlington, virginia",-1.0872979,53.9599651
oh➡nj➡️nyc➡️az➡️dc and md,-77.0909809,38.8816208
global,-74.4056612,40.0583238
"arlington, va",-73.6613652,40.8087324
"paramus, nj",-77.1067698,38.8799697
cape town,-74.0754189,40.9445428
@oleaneastview ,18.4240553,-33.9248685
"sacramento, ca",-77.0368707,38.9071923
"new york, ny",-121.4943996,38.5815719
clinton township mi,-74.0059728,40.7127753
"woodbridge, va",-82.9195514,42.5868882
"northern virginia, usa",-77.2497049,38.6581722
minnesota,-81.4498717,37.2232316
northern nj ,-94.6858998,46.729553
"41.0804° n, 85.1392° w ",-74.077072,40.9290779
new mexico,-85.1392,41.0804
"topeka, ks",-105.8700901,34.5199402
"newnan, ga",-95.6751576,39.0473451
chicago suburbs,-84.7996573,33.3806716
"stamford, ct",-87.7602365,41.8077115
maryland,-73.5387341,41.0534302
"alexandria, va",-76.6412712,39.0457549
"san diego, ca",-77.0469214,38.8048355
"quincy, ma",-117.1610838,32.715738
"burlington, ma",-106.650422,35.0843859
"toronto, ontario, canada",-71.0022705,42.2528772
adirondack foothills,-71.1956205,42.5047161
maine... and beyond-ish,-79.3831843,43.653226
"kitchener, on.   ",-74.4270695,44.2376444
united states,-69.4454689,45.253783
"deer lodge, mt",-80.4925337,43.4516395
"salt lake city, ut",-95.712891,37.09024
"jenison, michigan",-112.7383721,46.3990941
oklahoma,-111.8910474,40.7607793
boston and new york city,-85.7919784,42.907248
alabama,-97.5164276,35.4675602
uw- oshkosh,-73.9954397,40.7163483
new york city,-86.902298,32.3182314
"alabama, usa",-88.5508156,44.0262095
"seattle, wa",-74.0059728,40.7127753
"denver, co",-86.902298,32.3182314
"miami, fl",-122.3320708,47.6062095
"half moon bay, ca",-104.990251,39.7392358
washington dc,-80.1917902,25.7616798
"brooklyn, ny ",-122.4285862,37.4635519
"lancaster, pa",-77.0368707,38.9071923
"ruston, la",-73.9441579,40.6781784
new york,-76.3055144,40.0378755
"huntsville, al",-92.637927,32.5232053
"portland, oregon",-74.0059728,40.7127753
wisconsin,-86.5861037,34.7303688
silicon valley,-122.6750261,45.5051064
the bluegrass state,-88.7878678,43.7844397
"derwood, maryland",-122.0575434,37.387474
georgia,-84.2700179,37.8393332
houston tx,-77.1611903,39.1174267
 wisconsin,-82.9000751,32.1656221
"bowling green, kentucky",-95.3698028,29.7604267
pdx,-88.7878678,43.7844397
"philadelphia, pennsylvania",-86.4808043,36.9685219
eastern kentucky university,-122.5950942,45.5897694
"midland, michigan",-75.1652215,39.9525839
modesto,-84.298672,37.7353214
"berkeley, ca",-84.2472116,43.6155825
"columbus, oh",-120.9970014,37.6392595
"bucyrus, kansas",-122.273042,37.8715226
"rock island, il",-82.9987942,39.9611755
"honolulu, hi",-94.7185421,38.7237618
"new berlin, wi",-90.5787476,41.5094771
"cokato, minnesota",-157.8583333,21.3069444
"santa barbara, ca",-88.1084224,42.9764027
"omaha, ne",-94.1900879,45.0777389
dc ncr,-119.6981901,34.4208305
"washington, d.c.",-95.9345034,41.2565369
"grand ledge, michigan",-77.0368707,38.9071923
baltimore - dc - nova,-77.0368707,38.9071923
inglewood,-84.7463757,42.7533685
"longview, texas",-76.6121893,39.2903848
ks girl living in an nyc world,-118.3531311,33.9616801
"burlington, nc",-94.7404891,32.5007037
"lubbock, tx",-74.0059728,40.7127753
oz,-79.4377991,36.0956918
"bozeman, mt",-101.8551665,33.5778631
"las vegas, nevada",-90.0647393,29.9594889
phillips wi,-111.0429339,45.6769979
rhinelander wi,-115.1398296,36.1699412
"hillsborough, nc",-90.4004296,45.6966257
south-central wisconsin,-89.4120753,45.6366228
"norman, oklahoma",-79.0997347,36.0754183
"wisconsin, usa",-88.7878678,43.7844397
"madison, wisconsin",-97.4394777,35.2225668
"indiana, united states",-88.7878678,43.7844397
"ct, usa",-89.4012302,43.0730517
sacramento,-86.1349019,40.2671941
texas,-73.087749,41.6032207
"prince william co, va",-121.4943996,38.5815719
"birmingham, al, usa",-99.9018131,31.9685988
"durham, nc",-77.6077865,38.7838939
"planet earth, for now. ",-86.8103567,33.5185892
kentucky,-78.898619,35.9940329
kansas,-84.2700179,37.8393332
"athens, ga",-112.0391057,46.5891452
"leroy, il",-98.4842465,39.011902
"wood dale, illinois",-83.357567,33.9519347
kansas to chicago,-88.764237,40.3519795
nc,-87.9789562,41.9633625
"livonia, michigan",-79.0192997,35.7595731
"raleigh, nc usa",-84.2700179,37.8393332
"green bay, wi",-83.3527097,42.36837
"greenville, sc",-78.6381787,35.7795897
idaho,-88.0132958,44.5133188
"arlington, ma",-82.3940104,34.8526176
"boone, nc (usa)",-114.7420408,44.0682019
maine,-71.1564729,42.4153925
"li, ny",-81.6745517,36.216795
"palatine, illinois",-69.4454689,45.253783
earth,-73.134961,40.789142
"west michigan, usa",-88.03424,42.1103041
penn college,-95.7243335,37.2321077
gastonia nc,-85.6023643,44.3148443
"mineral point, wi",-77.021041,41.234716
"massachusetts, usa",-81.1873005,35.262082
"redwood city, ca",-90.1798473,42.859997
china | japan | uk | indonesia,-71.3824374,42.4072107
"oshkosh, wisconsin",-122.228141,37.4847955
"lenape land, newark, de, usa",-3.435973,55.378051
"cambridge, ma",-88.5426136,44.0247062
"michigan, usa",-75.753892,39.6556491
"manhattan, ny",-71.1097335,42.3736158
virginia,-85.6023643,44.3148443
"pittsburgh, pa",-73.9712488,40.7830603
worldwide,-78.6568942,37.4315734
"bartlett, il",-79.9958864,40.4406248
"tyler, tx",-97.676541,30.3419866
michigan state university,-88.1856301,41.9950276
"southern pines, nc",-95.3010624,32.3512601
"flagstaff, az",-84.4821719,42.701848
